Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
23/5/2017/,79k,0.0258048944938067,0.0106541032640537,0.0307295957023053,0.0787855667369665,0.912204475276432,0.0407590799716304,0.0729807036530424,0.00247160624012133,0.00370872647566038,0.000791654396788401,0.00181958010239003,0.0602239448673461,0.00180014436024344,0.00154998470664049,0.00750264757052467,0.00179825047319058,0.00383033301977039,10.3789478369167,9.09140498572685
25/5/2017/,80k,0.0705439489865002,0.0166458438837275,0.0170671603930915,0.0410929663742031,0.40709496624328,0.0157521053077956,0.0346142554742103,0.000608463104842752,0.000268197759404694,0.000733716202495471,0.000666942563034102,0.0323749531512729,0.000218144126324188,0.00122436318689064,0.00329772940606758,0.00156319385606588,0.00206991283778394,2.96490564832076,4.12376080987661
27/5/2017/,81k,0.148194496547789,0.0504818112641651,0.102195683757911,0.283378486067077,0.783551018467864,0.0532508901103392,0.32504428764748,0.00775814213865099,0.00382915335208866,0.00178922293075685,0.00203059701412632,0.121516234880314,0.000826961974984493,0.00237716464229768,0.00673494430101143,0.0032970316654812,0.00407061682437001,3.65274561355538,9.48552378876344
29/5/2017/,82k,0.0872861357867418,0.0519551322388268,0.110871416506454,0.319390395242672,0.696234848856396,0.0689509477504389,0.592965944113812,0.0118624573463751,0.00926699212779683,0.00352845252268904,0.0037820920212784,0.168956925532623,0.00221051605039662,0.00272978721157397,0.0106875040610014,0.00321200228347832,0.0048222226636724,3.91064929056816,11.3965181208377
31/5/2017/,83k,0.109074643268517,0.0414184087667321,0.105716058436339,0.2728337338748,1.4298473957959,0.0504735323955561,0.392863852209128,0.00470718411452632,0.00538020535380982,0.000332627798604863,0.00158528901069805,0.23066165500097,0.00368846818618662,0.00373277776989525,0.0101506511112742,0.00309668667280304,0.00524658089747911,4.06410201954369,13.1125994339988
2/6/2017/,84k,0.1583609242699,0.0669280589255826,0.179097560128077,0.424919196924474,1.37666264943494,0.0735771035961871,0.488795756923279,0.0138515943251689,0.00842027247097224,0.00342108164725688,0.00223448168631982,0.182277901372629,0.0022604024115822,0.0042882356055427,0.00984432449804941,0.00395328022796135,0.00234004534442306,4.47290473615905,14.59020122086
4/6/2017/,85k,0.245056240466422,0.0817629941659269,0.205126937981434,0.499295925429006,1.57579217629869,0.0840349374296878,0.364915474463747,0.0119200857577155,0.00960886525858664,0.0023605082693259,0.00287182318067516,0.200600237817555,0.00267132277124561,0.00386708985975143,0.00749242109464042,0.00317344266880146,0.00413884864081405,4.24139735050077,15.0309247005853
6/6/2017/,86k,0.581083475296858,0.133351133345166,0.212970709095048,0.494377827541171,1.60123568746151,0.117752156100959,0.48644487025643,0.016348428497758,0.0168684486648641,0.00494402355874853,0.00494908486098981,0.23338693958895,0.00666553227086577,0.0036123035585965,0.0129462891311965,0.00419870876179885,0.00305034410530944,2.84150398647468,16.3627787879785
8/6/2017/,87k,0.16069422478871,0.0416214365726001,0.0541752220433066,0.139502721084236,0.253460531173261,0.0324266724288174,0.233625222644626,0.00326103900521957,0.000811661755840739,0.000774213050901898,0.000566525912813089,0.0676628910153118,0.000215749766859369,0.00168158958762251,0.0053297821982379,0.000976443898092756,0.00272126133876153,1.57290470669571,5.70794608882967
10/6/2017/,88k,0.0698528870729158,0.021670644853255,0.040167334322285,0.0843413825160734,0.810598955154305,0.0442167287769087,0.0856097547140773,0.00314013459558454,0.00291312779641569,0.00147693017165196,0.00109737751610643,0.0570432513208981,0.00136005249640928,0.00173549734856682,0.00483849825998286,0.00110586903856653,0.0011756505358109,2.55707776723164,7.81323249054573
